 ,Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1416,0.597,3.677,1.511,0.503,85.269,1.609,641,528,101.310,0.631
1417,0.398,2.231,0.862,0.588,0.000,0.998,60,571,161.565,0.631
1418,0.398,2.416,0.862,0.588,90.000,0.998,665,574,108.435,0.631
1419,0.896,3.939,1.505,0.758,0.503,1.699,347,596,158.199,0.946
1420,1.194,5.201,1.884,0.807,87.618,2.231,659,600,98.130,0.946
1421,4.478,13.524,3.609,1.580,21.403,4.291,333,627,36.027,2.334
1422,2.687,6.539,1.986,1.723,58.481,2.464,341,638,50.194,1.893
1423,0.697,3.939,1.180,0.752,0.000,1.609,915,637,168.690,0.946
1424,0.995,3.493,1.277,0.992,153.435,1.577,704,647,143.130,0.946
1425,0.896,4.570,1.891,0.603,90.788,1.995,711,658,108.435,0.631
1426,0.597,3.308,1.078,0.705,90.000,1.301,959,672,104.036,0.946
1427,0.398,2.785,1.424,0.356,90.000,1.301,957,677,104.036,0.315
1428,1.095,4.831,1.438,0.969,128.787,1.839,726,683,149.036,1.338
1429,0.796,3.939,1.529,0.663,59.305,1.839,949,749,59.036,0.946
1430,8.857,22.217,6.249,1.805,109.706,7.005,757,746,125.838,2.979
1431,0.398,2.785,1.424,0.356,90.000,1.301,305,747,104.036,0.315
1432,0.299,2.154,1.068,0.356,90.000,0.998,611,753,108.435,0.315
1433,0.299,1.785,0.746,0.510,45.000,0.892,1036,764,45.000,0.631
1434,0.299,2.154,1.068,0.356,90.000,0.998,297,775,108.435,0.315
1435,0.299,2.154,1.068,0.356,90.000,0.998,301,775,108.435,0.315
1436,0.299,2.154,1.068,0.356,90.000,0.998,945,777,108.435,0.315
1437,0.896,4.124,1.600,0.713,107.567,1.839,787,799,120.964,0.946
1438,0.398,2.600,1.424,0.356,0.000,1.301,656,819,165.964,0.315
1439,0.498,3.416,1.780,0.356,90.000,1.609,801,833,101.310,0.315
1440,0.597,3.493,1.005,0.757,66.255,1.338,805,844,45.000,0.946
