 ,Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
2986,0.299,1.785,0.746,0.510,135.000,0.892,316,355,135.000,0.631
2987,0.398,2.231,0.862,0.588,0.000,0.998,328,355,161.565,0.631
2988,0.299,2.154,1.068,0.356,90.000,0.998,327,357,108.435,0.315
2989,0.299,2.154,1.068,0.356,90.000,0.998,875,370,108.435,0.315
2990,1.990,5.201,2.116,1.198,16.119,2.275,1179,376,33.690,1.262
2991,0.299,1.969,1.068,0.356,0.000,0.998,357,377,161.565,0.315
2992,0.299,1.969,1.068,0.356,0.000,0.998,1317,377,161.565,0.315
2993,2.588,6.800,2.086,1.580,41.725,2.464,513,386,39.806,1.956
2994,0.498,3.046,1.177,0.538,95.152,1.301,635,396,104.036,0.631
2995,0.398,2.416,1.007,0.503,161.565,1.137,1189,439,146.310,0.631
2996,0.796,3.493,1.274,0.796,123.690,1.577,1343,465,126.870,0.946
2997,0.995,5.647,1.520,0.834,107.689,2.116,1183,466,116.565,1.347
2998,0.398,2.600,1.424,0.356,0.000,1.301,1331,469,165.964,0.315
2999,0.498,3.046,1.046,0.606,45.000,1.338,1343,500,45.000,0.892
3000,0.299,2.154,1.068,0.356,90.000,0.998,879,535,108.435,0.315
3001,0.498,3.046,1.046,0.606,45.000,1.338,1289,558,45.000,0.892
3002,0.697,3.308,1.072,0.827,143.350,1.411,611,614,153.435,0.946
3003,0.299,1.785,0.746,0.510,45.000,0.892,1007,639,45.000,0.631
3004,0.299,1.969,1.068,0.356,0.000,0.998,923,647,161.565,0.315
3005,0.597,3.308,1.078,0.705,90.000,1.301,1377,652,104.036,0.946
3006,0.398,2.785,1.424,0.356,90.000,1.301,529,661,104.036,0.315
3007,0.398,2.600,1.424,0.356,0.000,1.301,629,705,165.964,0.315
3008,0.796,5.124,2.848,0.356,0.000,2.543,18,763,172.875,0.315
3009,2.289,9.509,2.249,1.296,7.342,2.993,1367,781,161.565,1.577
3010,1.891,5.016,1.900,1.267,161.565,2.116,1366,787,153.435,1.262
3011,0.299,1.969,1.068,0.356,0.000,0.998,1262,789,161.565,0.315
3012,0.299,2.154,1.068,0.356,90.000,0.998,219,793,108.435,0.315
3013,6.469,10.924,3.573,2.305,104.224,4.101,49,797,112.620,2.636
3014,0.299,1.785,0.746,0.510,135.000,0.892,288,831,135.000,0.631
3015,0.796,4.200,1.424,0.712,83.660,1.609,653,868,101.310,0.946
3016,0.498,3.416,1.780,0.356,90.000,1.609,771,905,101.310,0.315
3017,0.299,1.969,1.068,0.356,0.000,0.998,588,939,161.565,0.315
3018,0.299,1.969,1.068,0.356,0.000,0.998,59,949,161.565,0.315
3019,0.498,3.416,1.780,0.356,90.000,1.609,877,979,101.310,0.315
3020,1.493,7.616,1.542,1.233,166.900,2.464,317,988,129.806,1.893
3021,0.299,1.969,1.068,0.356,0.000,0.998,1291,995,161.565,0.315
3022,2.687,8.693,2.303,1.486,116.112,3.248,933,9,119.055,2.116
3023,0.398,2.416,0.862,0.588,90.000,0.998,77,10,108.435,0.631
3024,0.299,1.969,1.068,0.356,0.000,0.998,831,15,161.565,0.315
3025,0.398,2.416,1.007,0.503,71.565,1.137,138,20,56.310,0.631
3026,0.299,1.969,1.068,0.356,0.000,0.998,645,17,161.565,0.315
3027,0.299,2.154,1.068,0.356,90.000,0.998,909,17,108.435,0.315
3028,0.498,2.862,0.880,0.720,0.000,1.137,1317,19,146.310,0.946
3029,0.398,2.231,0.862,0.588,0.000,0.998,1350,19,161.565,0.631
3030,0.398,2.785,1.424,0.356,90.000,1.301,503,19,104.036,0.315
3031,0.299,1.785,0.746,0.510,135.000,0.892,682,19,135.000,0.631
3032,0.398,2.600,1.424,0.356,0.000,1.301,873,19,165.964,0.315
3033,0.299,2.154,1.068,0.356,90.000,0.998,273,21,108.435,0.315
3034,0.697,3.308,1.316,0.674,144.547,1.577,1334,21,143.130,0.892
3035,0.299,2.154,1.068,0.356,90.000,0.998,797,23,108.435,0.315
3036,0.299,1.969,1.068,0.356,0.000,0.998,103,25,161.565,0.315
3037,0.498,2.862,1.177,0.538,174.848,1.301,663,27,165.964,0.631
3038,0.299,2.154,1.068,0.356,90.000,0.998,1277,29,108.435,0.315
3039,9.255,16.755,3.951,2.983,106.594,5.518,1265,39,120.964,3.379
3040,0.299,2.154,1.068,0.356,90.000,0.998,801,63,108.435,0.315
3041,2.289,7.877,2.604,1.119,129.997,3.353,379,67,138.814,1.704
3042,0.796,3.493,1.274,0.796,146.310,1.577,36,71,143.130,0.946
3043,0.796,4.754,1.019,0.995,90.000,1.609,1011,75,101.310,1.262
3044,0.299,1.969,1.068,0.356,0.000,0.998,403,77,161.565,0.315
3045,0.498,2.862,1.177,0.538,5.152,1.301,403,85,165.964,0.631
3046,0.995,4.200,1.505,0.842,9.909,1.699,403,90,21.801,0.946
3047,0.597,3.308,1.269,0.599,83.736,1.411,885,137,63.435,0.631
3048,3.185,8.324,2.837,1.429,83.934,3.294,877,155,73.301,1.761
3049,0.299,1.785,0.746,0.510,135.000,0.892,1234,177,135.000,0.631
3050,0.398,2.416,1.007,0.503,161.565,1.137,1205,191,146.310,0.631
3051,1.095,4.200,1.347,1.035,11.494,1.699,1206,197,21.801,1.262
3052,0.796,4.939,2.301,0.440,94.265,2.297,504,249,105.945,0.631
3053,0.995,3.569,1.418,0.894,139.065,1.577,733,280,126.870,1.115
3054,0.697,3.754,0.988,0.898,45.001,1.338,631,286,45.000,1.115
3055,6.071,11.740,3.170,2.439,16.611,4.394,423,340,21.038,2.839
3056,0.299,2.154,1.068,0.356,90.000,0.998,455,336,108.435,0.315
3057,1.095,3.939,1.414,0.986,45.000,1.785,620,350,45.000,1.262
3058,0.299,2.154,1.068,0.356,90.000,0.998,777,359,108.435,0.315
3059,0.597,3.493,1.233,0.617,26.565,1.577,1221,362,36.870,0.946
3060,0.398,2.862,1.132,0.448,135.000,1.338,455,361,135.000,0.669
3061,1.692,6.093,1.952,1.103,88.338,2.543,1231,371,97.125,1.262
3062,0.896,3.046,1.068,1.068,0.000,1.338,457,375,135.000,0.946
3063,0.697,4.308,1.477,0.601,107.769,1.839,541,375,120.964,0.946
3064,1.194,4.200,1.394,1.091,72.535,1.609,1365,378,101.310,1.262
3065,0.498,3.046,1.046,0.606,45.000,1.338,463,382,45.000,0.892
3066,0.597,3.493,1.184,0.642,90.000,1.411,459,380,116.565,0.946
3067,0.299,2.154,1.068,0.356,90.000,0.998,417,387,108.435,0.315
3068,0.597,3.677,1.233,0.617,116.565,1.577,445,394,126.870,0.946
3069,0.498,3.046,1.046,0.606,45.000,1.338,1125,410,45.000,0.892
3070,0.995,4.200,1.214,1.044,23.863,1.577,767,422,53.130,1.262
3071,2.886,7.062,2.173,1.691,44.322,2.714,711,454,35.538,1.975
3072,0.299,2.154,1.068,0.356,90.000,0.998,1191,463,108.435,0.315
3073,0.498,2.862,1.046,0.606,45.000,1.338,625,472,45.000,0.892
3074,4.379,8.585,3.011,1.852,7.123,3.398,450,480,21.801,2.208
3075,0.299,1.969,1.068,0.356,0.000,0.998,645,479,161.565,0.315
3076,0.398,2.785,1.424,0.356,90.000,1.301,613,494,104.036,0.315
3077,1.194,5.016,1.418,1.073,95.107,1.919,631,505,99.462,1.262
3078,0.299,1.969,1.068,0.356,0.000,0.998,589,517,161.565,0.315
3079,0.398,2.416,1.007,0.503,108.435,1.137,397,555,123.690,0.631
3080,0.299,1.969,1.068,0.356,0.000,0.998,863,559,161.565,0.315
3081,0.299,2.154,1.068,0.356,90.000,0.998,873,589,108.435,0.315
3082,0.299,1.969,1.068,0.356,0.000,0.998,1351,619,161.565,0.315
3083,0.299,2.154,1.068,0.356,90.000,0.998,31,621,108.435,0.315
3084,0.299,1.969,1.068,0.356,0.000,0.998,25,665,161.565,0.315
3085,0.299,2.154,1.068,0.356,90.000,0.998,127,669,108.435,0.315
3086,0.398,2.416,0.862,0.588,90.000,0.998,1377,682,108.435,0.631
3087,0.398,2.416,0.862,0.588,90.000,0.998,125,684,108.435,0.631
3088,0.498,2.862,1.177,0.538,174.848,1.301,803,685,165.964,0.631
3089,0.796,3.939,1.159,0.874,113.645,1.577,1379,685,126.870,1.225
3090,0.299,2.154,1.068,0.356,90.000,0.998,723,686,108.435,0.315
3091,0.995,5.647,1.517,0.835,44.579,2.116,1375,694,63.435,1.325
3092,0.796,4.385,1.155,0.878,90.000,1.609,27,721,101.310,1.262
3093,0.498,2.862,1.177,0.538,174.848,1.301,1043,795,165.964,0.631
3094,1.095,5.647,1.466,0.951,40.410,2.231,1041,804,45.000,1.561
3095,0.398,2.600,1.424,0.356,0.000,1.301,1292,799,165.964,0.315
3096,0.299,1.969,1.068,0.356,0.000,0.998,1043,803,161.565,0.315
3097,0.299,2.154,1.068,0.356,90.000,0.998,1015,804,108.435,0.315
3098,0.299,2.154,1.068,0.356,90.000,0.998,1015,808,108.435,0.315
3099,11.246,20.694,5.267,2.719,143.656,7.138,1038,811,135.000,4.025
3100,6.270,11.294,4.572,1.746,0.720,4.826,996,816,11.310,1.893
3101,0.896,3.569,1.157,0.986,71.063,1.411,1033,823,63.435,1.262
3102,1.393,4.646,1.805,0.983,25.030,2.116,1098,832,26.565,1.262
3103,0.299,2.154,1.068,0.356,90.000,0.998,1099,834,108.435,0.315
3104,0.398,2.231,0.862,0.588,0.000,0.998,424,851,161.565,0.631
3105,0.398,2.416,0.862,0.588,90.000,0.998,1023,856,108.435,0.631
3106,0.498,2.677,0.796,0.796,0.000,0.998,1019,858,108.435,0.892
3107,0.498,3.046,1.046,0.606,135.000,1.338,1139,873,135.000,0.892
3108,0.299,2.154,1.068,0.356,90.000,0.998,1333,877,108.435,0.315
3109,0.299,2.154,1.068,0.356,90.000,0.998,89,903,108.435,0.315
3110,1.692,4.831,1.631,1.321,17.270,1.839,473,910,149.036,1.496
3111,2.189,5.908,1.981,1.407,177.247,2.297,1161,933,164.055,1.577
3112,0.796,4.754,1.356,0.747,11.310,1.839,425,962,30.964,1.262
3113,0.299,1.785,0.746,0.510,135.000,0.892,405,970,135.000,0.631
3114,0.796,4.385,1.697,0.597,0.000,1.919,1152,971,170.538,0.946
3115,1.692,5.908,1.764,1.221,6.409,2.231,1054,1003,171.870,1.577
3116,1.194,6.539,1.911,0.796,104.969,2.403,605,5,113.199,1.270
3117,0.299,2.154,1.068,0.356,90.000,0.998,1169,5,108.435,0.315
3118,0.597,3.493,1.233,0.617,26.565,1.577,683,12,36.870,0.946
