 ,Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
588,1.891,7.247,1.880,1.281,69.800,2.464,471,226,39.806,1.607
589,4.080,8.955,2.935,1.770,102.921,3.484,293,221,95.194,1.989
590,0.299,1.785,0.746,0.510,135.000,0.892,989,242,135.000,0.631
591,0.398,2.785,1.424,0.356,90.000,1.301,995,248,104.036,0.315
592,0.398,2.416,1.007,0.503,108.435,1.137,175,257,123.690,0.631
593,0.697,4.124,1.275,0.696,104.527,1.609,325,272,101.310,0.946
594,0.398,2.416,1.007,0.503,71.565,1.137,42,278,56.310,0.631
595,0.597,3.493,1.005,0.757,113.745,1.338,323,281,135.000,0.946
596,4.180,8.955,2.605,2.043,39.731,3.248,242,288,29.055,2.383
597,1.592,5.723,1.707,1.187,32.155,2.116,1082,316,26.565,1.400
598,0.597,3.677,1.643,0.463,82.534,1.699,698,346,68.199,0.631
599,0.299,1.785,0.746,0.510,45.000,0.892,1369,343,45.000,0.631
600,3.583,8.324,2.981,1.530,67.487,3.412,1358,360,56.310,1.893
601,1.095,4.831,1.450,0.962,130.870,1.839,527,401,120.964,1.270
602,1.692,5.832,2.308,0.933,166.943,2.695,505,405,159.444,0.946
603,0.299,2.154,1.068,0.356,90.000,0.998,927,419,108.435,0.315
604,1.095,4.570,1.486,0.938,121.717,1.839,485,606,120.964,1.262
605,0.299,2.154,1.068,0.356,90.000,0.998,973,645,108.435,0.315
606,0.896,4.646,1.293,0.882,163.155,1.699,787,674,158.199,1.262
607,0.299,1.969,1.068,0.356,0.000,0.998,497,765,161.565,0.315
608,5.772,12.447,3.669,2.003,88.701,4.394,685,790,68.962,2.524
609,0.498,2.862,1.177,0.538,174.848,1.301,1165,793,165.964,0.631
610,0.398,2.231,1.007,0.503,18.435,1.137,909,819,33.690,0.631
611,2.289,6.724,1.848,1.577,49.780,2.464,649,826,39.806,1.577
612,2.488,5.723,1.783,1.776,18.435,2.116,909,825,153.435,1.893
613,0.299,2.154,1.068,0.356,90.000,0.998,1275,847,108.435,0.315
614,0.299,1.969,1.068,0.356,0.000,0.998,1379,851,161.565,0.315
615,0.398,2.416,1.007,0.503,71.565,1.137,1217,860,56.310,0.631
616,0.398,2.231,0.862,0.588,0.000,0.998,880,867,161.565,0.631
617,0.299,2.154,1.068,0.356,90.000,0.998,873,874,108.435,0.315
618,0.896,3.939,1.442,0.791,82.662,1.609,873,884,101.310,0.946
619,0.398,2.416,0.862,0.588,90.000,0.998,937,910,108.435,0.631
620,0.299,1.785,0.746,0.510,45.000,0.892,936,916,45.000,0.631
621,2.090,5.723,1.961,1.357,57.605,2.403,485,932,66.801,1.577
622,0.299,2.154,1.068,0.356,90.000,0.998,537,931,108.435,0.315
623,0.299,2.154,1.068,0.356,90.000,0.998,1293,945,108.435,0.315
624,0.299,1.969,1.068,0.356,0.000,0.998,1199,977,161.565,0.315
625,0.498,3.416,1.780,0.356,90.000,1.609,1007,1013,101.310,0.315
626,0.299,2.154,1.068,0.356,90.000,0.998,27,5,108.435,0.315
627,0.299,2.154,1.068,0.356,90.000,0.998,597,7,108.435,0.315
628,0.299,1.969,1.068,0.356,0.000,0.998,715,7,161.565,0.315
629,0.697,4.678,2.492,0.356,90.000,2.231,1361,8,98.130,0.315
630,0.299,2.154,1.068,0.356,90.000,0.998,279,9,108.435,0.315
631,1.393,4.124,1.717,1.033,97.161,1.839,19,11,120.964,0.946
632,0.697,4.385,1.417,0.626,26.808,1.839,399,14,30.964,0.988
633,6.568,17.278,3.593,2.328,9.682,4.988,853,18,18.435,3.120
634,1.592,8.247,2.238,0.906,63.800,3.123,1087,22,45.000,1.662
635,0.299,2.154,1.068,0.356,90.000,0.998,1101,15,108.435,0.315
636,0.299,2.154,1.068,0.356,90.000,0.998,1123,15,108.435,0.315
637,3.384,10.032,2.414,1.785,107.270,3.123,1373,15,135.000,2.394
638,0.299,1.785,0.746,0.510,135.000,0.892,523,16,135.000,0.631
639,0.299,1.785,0.746,0.510,135.000,0.892,761,16,135.000,0.631
640,0.398,2.785,1.424,0.356,90.000,1.301,43,17,104.036,0.315
641,0.597,3.308,1.078,0.705,90.000,1.301,27,19,104.036,0.946
642,2.787,9.216,3.558,0.997,131.738,4.113,1365,19,122.471,1.561
643,0.498,3.046,1.046,0.606,135.000,1.338,387,23,135.000,0.892
644,2.488,6.539,1.888,1.678,171.204,2.403,587,25,156.801,1.893
645,0.398,2.785,1.424,0.356,90.000,1.301,1087,24,104.036,0.315
646,4.976,9.139,2.830,2.239,107.682,3.294,1093,25,106.699,2.394
647,0.796,4.385,1.220,0.831,100.706,1.609,219,28,101.310,1.225
648,0.498,3.416,1.780,0.356,90.000,1.609,625,29,101.310,0.315
649,0.498,2.862,1.023,0.619,0.000,1.137,1375,29,146.310,0.631
650,0.398,2.416,1.007,0.503,108.435,1.137,849,31,123.690,0.631
651,0.896,5.201,1.641,0.695,107.312,2.116,1375,32,116.565,0.946
652,0.597,3.308,1.078,0.705,90.000,1.301,1365,33,104.036,0.946
653,0.299,1.969,1.068,0.356,0.000,0.998,1093,41,161.565,0.315
654,0.597,3.493,1.005,0.757,66.255,1.338,223,92,45.000,0.946
655,2.289,5.723,2.109,1.382,178.490,2.403,228,92,23.199,1.577
656,2.886,6.985,2.194,1.675,122.394,2.714,221,93,125.538,1.893
657,0.597,3.677,1.643,0.463,97.466,1.699,266,101,111.801,0.631
658,0.299,2.154,1.068,0.356,90.000,0.998,309,103,108.435,0.315
659,2.488,6.278,2.001,1.583,72.252,2.543,313,112,60.255,1.577
660,0.796,5.124,2.848,0.356,0.000,2.543,276,107,172.875,0.315
661,0.597,3.677,1.643,0.463,172.534,1.699,221,109,158.199,0.631
662,0.796,4.754,1.356,0.747,11.310,1.839,319,112,30.964,1.262
663,0.498,2.862,1.177,0.538,5.152,1.301,253,117,165.964,0.631
664,1.095,5.016,1.809,0.771,47.028,2.231,261,122,45.000,1.115
665,3.483,9.216,2.760,1.607,35.485,3.248,595,136,60.945,2.231
666,0.299,1.785,0.746,0.510,45.000,0.892,994,160,45.000,0.631
667,0.597,3.493,1.005,0.757,66.255,1.338,1133,166,45.000,0.946
668,0.299,2.154,1.068,0.356,90.000,0.998,923,195,108.435,0.315
669,0.299,2.154,1.068,0.356,90.000,0.998,801,225,108.435,0.315
670,0.299,1.969,1.068,0.356,0.000,0.998,67,251,161.565,0.315
671,2.488,6.169,2.054,1.542,105.580,2.403,1205,291,113.199,1.834
672,0.299,1.969,1.068,0.356,0.000,0.998,309,295,161.565,0.315
673,3.085,7.801,2.363,1.663,171.362,2.714,601,295,144.462,1.577
674,0.896,4.200,1.212,0.941,40.514,1.577,615,299,53.130,1.115
675,0.398,2.416,0.862,0.588,90.000,0.998,169,296,108.435,0.631
676,1.095,5.016,1.464,0.952,0.000,1.919,250,301,170.538,1.262
677,1.990,5.985,2.073,1.222,13.766,2.543,547,303,29.745,1.552
678,0.299,1.785,0.746,0.510,45.000,0.892,1183,301,45.000,0.631
679,0.498,2.862,1.046,0.606,45.000,1.338,1201,302,45.000,0.892
680,0.896,4.570,1.613,0.707,78.772,1.919,219,301,99.462,0.946
681,0.299,2.154,1.068,0.356,90.000,0.998,277,303,108.435,0.315
682,2.986,10.663,2.787,1.364,95.787,3.812,149,305,114.444,1.980
683,0.498,3.046,1.177,0.538,84.848,1.301,165,305,104.036,0.631
684,0.299,2.154,1.068,0.356,90.000,0.998,187,305,108.435,0.315
685,0.896,4.831,1.237,0.922,144.217,1.577,443,305,126.870,1.262
686,0.398,2.785,1.424,0.356,90.000,1.301,143,307,104.036,0.315
687,0.796,4.385,1.155,0.878,90.000,1.609,383,309,101.310,1.262
688,1.095,4.831,1.640,0.850,72.866,2.020,199,316,51.340,1.262
689,0.498,2.862,1.177,0.538,174.848,1.301,259,311,165.964,0.631
690,0.299,1.969,1.068,0.356,0.000,0.998,441,311,161.565,0.315
691,0.299,1.785,0.746,0.510,45.000,0.892,154,314,45.000,0.631
