 ,Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
165,0.995,3.493,1.277,0.992,26.565,1.577,741,28,36.870,0.946
166,0.299,2.154,1.068,0.356,90.000,0.998,681,61,108.435,0.315
167,0.597,3.862,2.136,0.356,0.000,1.919,125,143,170.538,0.315
168,1.393,6.093,1.666,1.065,1.901,2.116,112,153,153.435,1.577
169,0.299,1.969,1.068,0.356,0.000,0.998,137,153,161.565,0.315
170,3.085,6.800,2.132,1.842,105.704,2.543,111,163,119.745,2.066
171,0.299,1.785,0.746,0.510,45.000,0.892,139,167,45.000,0.631
172,0.597,3.493,1.461,0.521,0.000,1.609,137,169,168.690,0.631
173,2.687,6.985,2.038,1.679,162.726,2.695,129,173,159.444,1.893
174,0.398,2.600,1.424,0.356,0.000,1.301,1326,915,165.964,0.315
175,0.597,3.493,1.461,0.521,0.000,1.609,59,9,168.690,0.631
176,0.299,1.969,1.068,0.356,0.000,0.998,503,11,161.565,0.315
177,0.896,4.831,1.831,0.623,95.703,1.995,1369,14,108.435,0.946
178,0.398,2.785,1.424,0.356,90.000,1.301,831,17,104.036,0.315
179,0.398,2.416,1.007,0.503,108.435,1.137,953,17,123.690,0.631
180,0.697,3.939,1.180,0.752,0.000,1.609,743,23,168.690,0.946
181,0.299,2.154,1.068,0.356,90.000,0.998,1333,25,108.435,0.315
182,0.299,2.154,1.068,0.356,90.000,0.998,897,43,108.435,0.315
183,0.498,2.862,1.046,0.606,45.000,1.338,483,50,45.000,0.892
184,21.994,28.648,7.315,3.828,138.733,8.061,1054,347,149.421,5.049
185,0.398,2.416,0.862,0.588,90.000,0.998,1073,344,108.435,0.631
186,0.697,2.862,1.310,0.677,171.650,1.411,1073,348,153.435,0.631
187,6.767,13.786,4.313,1.998,50.456,5.581,1051,376,47.291,2.601
188,0.398,2.416,1.007,0.503,161.565,1.137,1353,777,146.310,0.631
189,0.299,2.154,1.068,0.356,90.000,0.998,611,997,108.435,0.315
190,0.498,3.046,1.046,0.606,135.000,1.338,1355,5,135.000,0.892
191,0.299,2.154,1.068,0.356,90.000,0.998,1231,505,108.435,0.315
192,0.299,2.154,1.068,0.356,90.000,0.998,467,5,108.435,0.315
193,0.398,2.416,0.862,0.588,90.000,0.998,19,8,108.435,0.631
194,0.398,2.416,1.007,0.503,71.565,1.137,1364,18,56.310,0.631
195,0.299,1.785,0.746,0.510,135.000,0.892,1313,20,135.000,0.631
196,0.299,2.154,1.068,0.356,90.000,0.998,21,221,108.435,0.315
197,2.389,5.985,1.904,1.597,33.961,2.231,1167,515,171.870,1.785
198,0.299,2.154,1.068,0.356,90.000,0.998,1199,921,108.435,0.315
199,0.299,1.785,0.746,0.510,135.000,0.892,1183,10,135.000,0.631
200,0.299,1.969,1.068,0.356,0.000,0.998,1179,13,161.565,0.315
201,0.398,2.600,1.424,0.356,0.000,1.301,29,17,165.964,0.315
202,0.299,2.154,1.068,0.356,90.000,0.998,859,28,108.435,0.315
203,0.299,2.154,1.068,0.356,90.000,0.998,73,35,108.435,0.315
204,0.299,1.969,1.068,0.356,0.000,0.998,883,9,161.565,0.315
205,0.398,2.416,1.007,0.503,18.435,1.137,1109,24,33.690,0.631
206,0.597,3.493,1.643,0.463,7.466,1.699,707,29,21.801,0.631
207,0.597,3.493,1.005,0.757,23.745,1.338,107,32,45.000,0.946
208,0.299,2.154,1.068,0.356,90.000,0.998,1181,31,108.435,0.315
209,0.498,3.046,1.046,0.606,45.000,1.338,157,722,45.000,0.892
210,1.095,5.201,1.680,0.830,94.731,2.231,143,755,98.130,0.946
211,1.194,4.385,1.699,0.895,1.762E-14,1.919,134,797,170.538,0.946
212,0.498,3.046,1.046,0.606,135.000,1.338,1065,919,135.000,0.892
213,0.299,1.969,1.068,0.356,0.000,0.998,1321,5,161.565,0.315
214,0.299,2.154,1.068,0.356,90.000,0.998,1353,9,108.435,0.315
215,0.299,2.154,1.068,0.356,90.000,0.998,369,11,108.435,0.315
216,0.498,2.677,0.796,0.796,0.000,0.998,755,12,108.435,0.892
217,0.299,2.154,1.068,0.356,90.000,0.998,93,15,108.435,0.315
218,0.299,1.969,1.068,0.356,0.000,0.998,23,635,161.565,0.315
219,0.498,3.046,1.046,0.606,135.000,1.338,715,989,135.000,0.892
220,0.299,2.154,1.068,0.356,90.000,0.998,1337,9,108.435,0.315
221,0.299,2.154,1.068,0.356,90.000,0.998,151,13,108.435,0.315
222,0.299,2.154,1.068,0.356,90.000,0.998,645,11,108.435,0.315
223,0.398,2.600,1.424,0.356,0.000,1.301,1341,11,165.964,0.315
224,0.896,4.831,1.453,0.785,36.379,1.839,987,18,30.964,1.115
225,0.299,2.154,1.068,0.356,90.000,0.998,727,17,108.435,0.315
226,1.194,6.724,1.728,0.880,53.178,2.464,1361,23,50.194,1.429
227,0.299,2.154,1.068,0.356,90.000,0.998,945,21,108.435,0.315
228,0.299,1.785,0.746,0.510,45.000,0.892,590,30,45.000,0.631
229,0.597,3.493,1.005,0.757,113.745,1.338,861,47,135.000,0.946
230,0.299,1.969,1.068,0.356,0.000,0.998,99,993,161.565,0.315
231,0.398,2.600,1.424,0.356,0.000,1.301,25,11,165.964,0.315
232,0.299,2.154,1.068,0.356,90.000,0.998,929,17,108.435,0.315
233,0.299,1.785,0.746,0.510,45.000,0.892,1173,27,45.000,0.631
234,0.299,2.154,1.068,0.356,90.000,0.998,129,471,108.435,0.315
